location_name,color,group_number,,
"   Montevideo, Uruguay",red,1,,
"Florida, Uruguay",yellow,1,,
"Rosario, Argentina",yellow,1,,
"San Salvador, El Salvador",yellow,1,,
"La Paz, Bolivia",yellow,1,,
"Bilbao, Spain",yellow,1,,
"Santa Cruz de Tenerife, Spain",yellow,1,,
"Esquipulas, Guatemala",red,2,,
   Equipulas Guatemala,dark_green,2,,
"   Santa Catarina Mita, Guatemala",dark_green,2,,
"   Jocotan, Guatemala",dark_green,2,,
"   Villa de San Ignacio, El Salvador",dark_green,2,,
"   Metapan, El Salvador",dark_green,2,,
"   Ocotepeque, Honduras",dark_green,2,,
"   Milan, Italy",green,2,,
"   Huelva, Spain",green,2,,
"  Amsterdam, Netherlands",light_blue,3,,
"  Puerto Cortés, Honduras",red,3,,
"  Tela, Honduras",yellow,3,,
"  Omoa, Honduras",yellow,3,,
"  Puerto Barrios, Guatemala",yellow,3,,
"  Santa Tecla, El Salvador",red,4,,
"  Quito, Ecuador",yellow,4,,
"  Saint Denis, France",yellow,4,,
"  Arezzo, Italy",red,5,,
"Lille, France",yellow,5,,
"Arica, Chile",yellow,5,,
"Cuenca, Ecuador",red,5,,
"Lago Agrio, Ecuador",yellow,5,,
"General Pico, Argentina",yellow,5,,
"Santiago de Surco, Peru",red,5,,
"   Arezzo, Italy",light_blue,5,,
" Buenos Aires, Argentina",green,5,,
"Paraná, Brazil",green,6,,
"Medellin, Colombia",green,6,,
"Bologna, Italy",red,6,,
"General Pueyrredón, Argentina",yellow,6,,
"Mar de Plata, Argentina",yellow,6,,
"Roma, Italy",yellow,6,,
"Ribera Alta, Spain",yellow,6,,
"Bologna, Italy",light_blue,6,,
"Roma, Italy",light_blue,6,,
" Buenos Aires, Argentina",green,6,,
"Ancona, Italy",green,6,,
"Borba, Portugal",red,7,,
"Alegrete, Brazil",yellow,7,,
"Quaraí, Brazil",yellow,7,,
"Rosário do Sul, Brazil",yellow,7,,
"Santana do Livramento, Brazil",yellow,7,,
"Maronna, Brazil",light_blue,7,,
"Rivera, Uruguay",green,7,,
"Venice, Italy",light_blue,8,,
"Venice, Italy",green,8,,
"San Juan, Argentina",green,8,,
"Misiones, Paraguay",green,8,,
"Rio Grande do Sul, Brazil",green,8,,
"Michoacán de Ocampo, Mexico",red,9,,
"Norte Paceño Tropical, Bolivia",dark_green,9,,
"Huehuetenango, Guatemala",dark_green,9,,
"Tucumán, Argentina",yellow,9,,
"Tuma La Dalia, Nicaragua",yellow,9,,
"San Sebastián de los Reyes, Spain",yellow,9,,
"Ciudad de Mexico, Mexico)",light_blue,9,,
"·  Department of Hautes-Pyrénées  , France",green,9,,
"Stuttgart , Germany",red,10,,
"Sao Paulo, Brazil",yellow,10,,
" Rio de Janeiro, Brazil",yellow,10,,
"Guadalajara, Mexico",yellow,10,,
"Bogotá, Colombia",yellow,10,,
"Quito, Ecuador",yellow,10,,
"Stuttgart, Germany",light_blue,10,,
"Sao Paulo, Brazil",light_blue,10,,
"Chihauhua, Mexico",green,10,,
"Palermo, Italy",red,11,,
"Cochabamba, Bolivia",dark_green,11,,
"Zaragoza, Spain",dark_green,11,,
"Sacaba, Vinto, Bolivia",yellow,11,,
"Buenos Aires, Argentina",green,11,,
"Asuncion, Paraguay",green,11,,
"Frosinone, Italy",red,12,,
"Calacoto, Bolivia",dark_green,12,,
"San Pedro de Quemes, Bolivia ",dark_green,12,,
"Purmamarca, Argentina ",dark_green,12,,
"Tarata, Peru",dark_green,12,,
"Buenos Aires, Argentina",light_blue,12,,
"Bolzano, Italy",green,12,,
"Irún, Spain",red,13,,
"   Santa Rosa de Copan, Honduras",yellow,13,,
"   Zapotlán el Grande, Mexico",yellow,13,,
"   Arica Parinacota, Chile",green,13,,
"   Tacna, Peru",green,13,,
"   Valladolid, Spain",green,13,,
"   Pernambuco, Brazil ",red,14,,
"   Bergamo, Italy",yellow,14,,
"   Loreto, Peru",yellow,14,,
"   Bergamo, Italy",light_blue,14,,
"   Paysandú, Uruguay",green,14,,
"   Ponta Porã, Brazil",red,15,,
"Pedro Juan Caballero, Paraguay",yellow,15,,
"Madrid, Spain",light_blue,15,,
"Malaga, Spain",green,15,,
"Alcorcón, Spain",red,16,,
"San Joao de Madeira, Portugal",yellow,16,,
"Valparaíso, Mexico",yellow,16,,
"Pimampiro, Ecuador",yellow,16,,
" Curahuara de Carangas, Bolivia",yellow,16,,
"Pimampiro, Ecuador",light_blue,16,,
"Paysandú, Uruguay",green,16,,
"Curahuara, Bolivia",light_blue,16,,
"Barcelona, Spain",red,17,,
"San Salvador, El Salvador",yellow,17,,
"Callao, Peru",yellow,17,,
"Managua, Nicaragua",yellow,17,,
"L’Hospitalet de Llobregat, Spain",red,18,,
"La Paz, Bolivia",yellow,18,,
"Canelones, Uruguay",yellow,18,,
Santa Tecla El Salvador,yellow,18,,
"Barcelona, Spain",green,18,,
"Firenze, Italy",red,19,,
"Viña del Mar, Chile",yellow,19,,
"Habana, Cuba",yellow,19,,
"León, Nicaragua",yellow,19,,
"Antigua, Guatemala",yellow,19,,
"Firenze, Italy",light_blue,19,,
"Punilla, Argentina",green,19,,
"Marseille, France",green,19,,
"Santa Fe, Argentina",redred,20,,
"San Salvador, El Salvador",dark_green,20,,
"San Salvador, El Salvador",light_blue,20,,
"Arequipa, Peru",green,20,,
"Barcelona, Spain",green,20,,
"Barcelona, Spain",rosso,21,,
"Santa Fe, Argentina",rosso,21,,
"San Jose, Costa Rica",rosso,21,,
"Bogotá, Colombia",rosso,21,,
,,,,
,,,,